surah,verse,type,tenor,vehicle,formula,notes
14,26,A,bad word,bad tree uprooted,mathalu kalima khabītha ka-shajara khabītha,tree parable negative
14,45,C,destroyed nations,,al-amthāl,meta
16,60,D,Allah vs disbelievers,,lahu l-mathalu l-aʿlā / lahum mathalu l-sawʾ,apophatic — dual
16,74,D,no likeness for God,,lā taḍribū li-llāhi l-amthāl,apophatic command
16,75,A,slave vs free provider,slave owning nothing vs free spender,ḍaraba Allāhu mathalan,social parable #1
16,76,A,mute burden vs just commander,dumb burden vs justice-commanding,ḍaraba Allāhu mathalan,social parable #2
16,112,A,city ingratitude,safe city → hunger and fear,ḍaraba Allāhu mathalan,city-destruction parable
16,126,E,measured retaliation,,mithl,non-parable
17,48,C,comparisons strayed,,amthāl,meta: they strike amthāl
17,88,E,inimitability,,mithl hādhā l-Qurʾān,non-parable
17,89,C,every kind of parable,,min kulli mathal,meta-inventory
17,99,E,create like them,,mithlahum,non-parable
18,32,A,two owners,"two gardens, pride, ruin",iḍrib lahum mathalan,extended pericope 32-44
18,45,A,this worldly life,rain → greenery → dry debris,iḍrib lahum mathalan,dunyā parable #2
18,54,C,every kind of parable,,min kulli mathal,meta
18,109,B,divine words,"sea as ink, would run dry",mithlihi madadā,infinite-word simile
18,110,E,messenger human,,bashar mithlukum,formula
19,17,E,angel-as-man,,bashar,non-parable
20,58,E,magic challenge,,siḥr mithlih,non-parable
20,63,E,most exemplary way,,bi-ṭarīqatikumu l-muthlā,non-parable
20,104,E,best in manner,,amthaluhum ṭarīqatan,non-parable
21,3,E,prophet is human,,bashar mithlukum,formula
21,52,E,statues,,tamāthīl,non-parable; Abraham
21,84,E,Job restored,,mithlahum maʿahum,non-parable
22,60,E,proportional response,,mithl,non-parable
22,73,A,idols,cannot create a fly,ḍuriba mathalun,weakness-parable
23,24,E,prophet is man,,bashar mithlukum,formula
23,33,E,prophet is man,,bashar mithlukum,formula
23,34,E,prophet is man,,bashar mithlakum,formula
23,47,E,prophet is man,,basharayn mithlinā,formula
23,81,E,former peoples said same,,mithla mā qāla,non-parable
24,17,E,warning against repeat,,li-mithlih,non-parable
24,34,C,parables sent,,amthāl,meta
24,35,A,God's light,niche→lamp→glass→star→olive-oil,mathalu nūrihi ka-mishkāt,Light Verse — densest parable
25,9,C,they strike amthāl,,amthāl,meta
25,33,E,best explanation,,aḥsana tafsīrā,non-parable
25,39,C,each destroyed,,ḍarabnā lahu l-amthāl,meta
26,154,E,prophet is man,,bashar mithlunā,formula
26,186,E,prophet is man,,bashar mithlunā,formula
28,48,E,Moses analogy,,mithla mā ūtī,non-parable
28,79,E,wishing Qarun wealth,,mithla mā,non-parable
29,41,A,polytheists,spider weaving weakest house,mathalu lladhīna ittakhadhū ka-mathali l-ʿankabūt,classic spider parable
29,43,C,only learned understand,,al-amthāl,meta
30,27,D,God's highest attribute,,lahu l-mathalu l-aʿlā,apophatic
30,28,A,slaves as partners,can your slaves be your equals?,ḍaraba lakum mathalan,social parable
30,58,C,every parable,,min kulli mathal,meta
34,13,E,reservoir-like bowls,,jawābi kal-jawāb,non-parable
35,14,E,idols don't hear,,mithlu khabīr,non-parable
36,13,C,city parable,,mathal,intro to Yasin city pericope
36,15,E,prophet is man,,bashar mithlunā,formula
36,42,E,ships,,min mithlih,non-parable
36,78,C,bones parable,,mathalan wa nasiya,meta: they strike parable forgetting creation
36,81,E,creator can re-create,,mithlahum,non-parable
37,61,E,toilers work,,li-mithli hādhā,non-parable
38,43,E,Job restored,,mithlahum maʿahum,non-parable
39,27,C,every parable,,min kulli mathal,meta
39,29,A,one master vs many,one-owned vs quarrelling-partners,ḍaraba Allāhu mathalan,social parable
39,47,E,ransom impossible,,mithlahu maʿahu,non-parable
40,30,E,like days of predecessors,,mithla yawmi,non-parable
40,31,E,like Noah Aad Thamud,,mithla daʾb,non-parable
40,40,E,evil recompense,,mithlahā,non-parable
41,6,E,prophet is man,,bashar mithlukum,formula
41,13,E,thunderbolt-like,,mithla ṣāʿiqa,non-parable
42,11,D,nothing like God,,laysa ka-mithlihi shayʾun,apophatic — grammatically double-negation
42,40,E,equivalent evil,,sayyiʾa mithluhā,non-parable
43,8,C,former parable,,mathalu l-awwalīn,meta
43,17,E,daughters, ,mathala,non-parable
43,56,C,made them a precedent,,mathalan,meta
43,57,C,Jesus struck as mathal,,mathalan,meta
43,59,C,Jesus as mathal,,mathalan,meta: Jesus as example
46,10,E,similar testimony,,mithlihi,non-parable
47,3,C,comparisons,,amthāl,meta
47,10,E,similar end,,amthāluhā,non-parable
47,15,A,Paradise,"4 rivers (water, milk, wine, honey) vs scalding water",mathalu l-jannati,paradise-rivers parable
47,38,E,be replaced,,amthālakum,non-parable
48,29,A,companions of Muhammad,seedling → stalks,mathaluhum fī l-Tawrāh / fī l-Injīl,Gospel/Torah image
51,23,E,as truth as speech,,mithla mā annakum,non-parable
51,59,E,portion like predecessors,,mithla dhanūb,non-parable
52,34,E,Quran challenge,,ḥadīth mithlih,non-parable
56,23,B,houris,pearl-like,ka-amthāli l-luʾluʾ,condensed paradisal
56,61,E,recreation,,amthālakum,non-parable
57,20,A,this worldly life,rain → plant → dry → debris,ka-mathali ghayth,dunyā parable #3; 4-stage decay
59,15,E,like those recently,,ka-mathali lladhīna,non-parable; chapter pointer
59,16,A,hypocrites with deceiver,like Satan saying disbelieve then abandoning,ka-mathali l-shayṭān,Satan-abandoning parable
59,21,A,Quran on mountain,mountain would humble and crumble,mathala ka-mathali,Quran-power parable
60,11,E,compensation,,mithla mā anfaqū,non-parable
62,5,A,scholars not practicing,donkey carrying books,mathalu lladhīna ḥummilū ka-mathali l-ḥimār,ass-with-books parable
65,12,E,seven earths like heavens,,mithlahunna,non-parable cosmological
66,10,A,disbelievers wives,Noah's and Lot's wives,mathalan lilladhīna kafarū,historical-exemplum
66,11,A,believing wife,Pharaoh's wife,mathalan lilladhīna āmanū,paired with 66:10
74,31,C,mathal scandal,,mādhā arāda Allāhu bi-hādhā mathalan,meta; echoes 2:26
76,28,E,recreation,,amthālahum,non-parable
89,8,E,Iram unprecedented,,mithluhā,non-parable
2,19,A,hypocrites,rainstorm thunder lightning,ka-ṣayyibin,2-verse pair 2:19-20
2,20,A,hypocrites,lightning blinds,,sequel to 2:19
2,74,B,Israelite hearts,hard as stones,ka-l-ḥijāra,hardness simile
7,40,B,arrogant disbelievers,camel through needle eye,ka-,impossibility simile
7,179,B,disbelievers,"cattle, even more astray",ka-l-anʿām bal hum aḍall,inversion simile
13,14,B,polytheist prayer,stretching hands to water,ka-bāsiṭ kaffayhi,futility simile
16,92,B,broken oaths,woman unraveling thread,ka-llatī,fragility simile
22,2,B,Judgment Day,people drunk but not drunk,tarā l-nās sukārā,terror simile
22,31,B,polytheist,"falls from sky, birds snatch, wind hurls",ka-annamā kharra,catastrophic fall
24,39,A,disbelievers' deeds,mirage thirsty chases,ka-sarāb,mirage parable
24,40,A,disbelievers' deeds,"wave upon wave, darkness upon darkness",aw ka-ẓulumāt,DELIBERATE PAIR with 24:35
27,88,B,mountains,pass like clouds,tamurru marra l-saḥāb,cosmological
37,49,B,houris,delicate preserved eggs,ka-annahunna bayḍun,paradisal
37,65,B,Zaqqum fruit,heads of devils,ka-annahu ruʾūs al-shayāṭīn,hellish grotesque
54,7,B,Resurrection,locusts spreading,ka-annahum jarādun muntashir,resurrection simile
54,20,B,Aad,uprooted palm trunks,ka-annahum aʿjāzu nakhlin munqaʿir,destruction simile
54,31,B,Thamud,like dry twigs of a pen,ka-hashīm al-muḥtaẓir,destruction simile
55,14,B,humanity,clay like pottery,ka-l-fakhkhār,creation simile
55,24,B,ships,like mountains,ka-l-aʿlām,cosmological simile
55,37,B,sky rending,red rose like oil,ka-l-dihān,apocalyptic simile
55,58,B,houris,like rubies and coral,ka-annahunna l-yāqūtu,paradisal
63,4,B,hypocrites,propped logs (unresponsive bodies),ka-annahum khushubun musannada,condemnation of unresponsive hypocrites
68,20,A,garden of owners,became as if reaped,ka-l-ṣarīm,part of 68:17-33 extended
69,7,B,Aad,hollow palm trunks,ka-annahum aʿjāzu nakhlin khāwiya,cf. 54:20
70,8,B,sky,like murky/molten oil,ka-l-muhl,apocalyptic
70,9,B,mountains,like wool,ka-l-ʿihn,apocalyptic
73,14,B,mountains,sand dune pouring,kathīban mahīlā,apocalyptic
74,50,B,disbelievers,alarmed donkeys,ka-annahum ḥumurun mustanfira,grotesque
77,32,B,Hellfire sparks,palaces,ka-l-qaṣr,hellish
77,33,B,Hellfire sparks,yellow camels,ka-annahu jimālat,hellish
101,4,B,humanity Judgment Day,scattered moths,ka-l-farāsh al-mabthūth,apocalyptic
101,5,B,mountains,like carded wool,ka-l-ʿihn al-manfūsh,apocalyptic
