window	start_surah	start_verse	start_word_idx	end_surah	end_verse	end_word_idx	cross_verse	phrase
4	8	52	7	8	52	10	False	ۚ كفروا بآيات الله
4	8	62	7	8	62	10	False	ۚ هو الذي أيدك
4	10	41	5	10	41	8	False	ولكم عملكم ۖ أنتم
4	10	42	1	10	42	4	False	من يستمعون إليك ۚ
4	11	78	6	11	78	9	False	كانوا يعملون السيئات ۚ
4	11	84	0	11	84	3	False	۞ وإلى مدين أخاهم
4	12	65	29	12	66	2	True	يسير قال لن أرسله
4	14	19	0	14	19	3	False	ألم تر أن الله
4	14	37	12	14	37	15	False	ربنا ليقيموا الصلاة فاجعل
4	17	33	3	17	33	6	False	التي حرم الله إلا
4	18	66	10	18	67	2	True	رشدا قال إنك لن
4	22	18	0	22	18	3	False	ألم تر أن الله
4	22	63	0	22	63	3	False	ألم تر أن الله
4	22	65	0	22	65	3	False	ألم تر أن الله
4	24	31	35	24	31	38	False	أو إخوانهن أو بني
4	24	31	37	24	31	40	False	أو بني إخوانهن أو
4	24	41	0	24	41	3	False	ألم تر أن الله
4	24	43	0	24	43	3	False	ألم تر أن الله
4	25	68	10	25	68	13	False	التي حرم الله إلا
4	25	70	2	25	70	5	False	تاب وآمن وعمل عملا
4	26	5	6	26	5	9	False	محدث إلا كانوا عنه
4	26	23	0	26	23	3	False	قال فرعون وما رب
4	27	30	4	27	30	7	False	بسم الله الرحمن الرحيم
4	27	67	4	27	67	7	False	كنا ترابا وآباؤنا أئنا
4	30	29	15	30	30	0	True	لهم من ناصرين فأقم
4	31	29	0	31	29	3	False	ألم تر أن الله
4	33	40	5	33	40	8	False	من رجالكم ولكن رسول
4	35	27	0	35	27	3	False	ألم تر أن الله
4	37	36	4	37	37	1	True	لشاعر مجنون بل جاء
4	39	21	0	39	21	3	False	ألم تر أن الله
4	40	31	0	40	31	3	False	مثل دأب قوم نوح
4	42	48	24	42	48	27	False	بما قدمت أيديهم فإن
4	43	59	8	43	60	1	True	لبني إسرائيل ولو نشاء
4	44	51	4	44	52	2	True	أمين في جنات وعيون
4	53	14	2	53	15	2	True	المنتهى عندها جنة المأوى
4	58	7	0	58	7	3	False	ألم تر أن الله
4	68	35	1	68	36	1	True	المسلمين كالمجرمين ما لكم
4	74	39	1	74	40	1	True	أصحاب اليمين في جنات
4	95	8	3	96	1	2	True	الحاكمين اقرأ باسم ربك
5	2	197	30	2	198	0	True	واتقون يا أولي الألباب ليس
5	3	97	12	3	97	16	False	على الناس حج البيت من
5	3	179	24	3	179	28	False	من رسله من يشاء ۖ
5	4	141	31	4	141	35	False	ولن يجعل الله للكافرين على
5	5	54	10	5	54	14	False	يأتي الله بقوم يحبهم ويحبونه
5	5	98	0	5	98	4	False	اعلموا أن الله شديد العقاب
5	6	151	20	6	151	24	False	من إملاق ۖ نحن نرزقكم
5	6	159	13	6	159	17	False	إلى الله ثم ينبئهم بما
5	7	33	27	7	34	2	True	لا تعلمون ولكل أمة أجل
5	9	108	13	9	108	17	False	أن تقوم فيه ۚ فيه
5	9	121	10	9	121	14	False	كتب لهم ليجزيهم الله أحسن
5	10	86	3	10	87	2	True	القوم الكافرين وأوحينا إلى موسى
5	11	63	13	11	63	17	False	فمن ينصرني من الله إن
5	11	123	8	11	123	12	False	فاعبده وتوكل عليه ۚ وما
5	12	51	9	12	51	13	False	قلن حاش لله ما علمنا
5	12	72	0	12	72	4	False	قالوا نفقد صواع الملك ولمن
5	16	96	11	16	96	15	False	صبروا أجرهم بأحسن ما كانوا
5	20	120	12	20	121	2	True	لا يبلى فأكلا منها فبدت
5	25	27	3	25	27	7	False	على يديه يقول يا ليتني
5	25	60	1	25	60	5	False	قيل لهم اسجدوا للرحمن قالوا
5	27	8	4	27	8	8	False	بورك من في النار ومن
5	28	4	13	28	4	17	False	ويستحيي نساءهم ۚ إنه كان
5	29	44	9	29	45	2	True	لآية للمؤمنين اتل ما أوحي
5	30	43	7	30	43	11	False	يأتي يوم لا مرد له
5	33	27	10	33	28	0	True	على كل شيء قديرا يا
5	37	7	1	37	8	0	True	من كل شيطان مارد لا
5	39	41	17	39	42	0	True	وما أنت عليهم بوكيل الله
5	40	20	16	40	21	3	True	البصير ۞ أولم يسيروا في
5	42	47	5	42	47	9	False	يأتي يوم لا مرد له
6	2	31	14	2	32	4	True	صادقين قالوا سبحانك لا علم لنا
6	2	197	29	2	198	0	True	ۚ واتقون يا أولي الألباب ليس
6	2	240	18	2	240	23	False	في ما فعلن في أنفسهن من
6	2	248	9	2	248	14	False	فيه سكينة من ربكم وبقية مما
6	4	141	30	4	141	35	False	ۗ ولن يجعل الله للكافرين على
6	5	4	3	5	4	8	False	لهم ۖ قل أحل لكم الطيبات
6	5	6	52	5	6	57	False	الله ليجعل عليكم من حرج ولكن
6	5	49	15	5	49	20	False	أنزل الله إليك ۖ فإن تولوا
6	6	91	37	6	91	42	False	أنتم ولا آباؤكم ۖ قل الله
6	7	33	27	7	34	3	True	لا تعلمون ولكل أمة أجل ۖ
6	11	12	8	11	12	13	False	صدرك أن يقولوا لولا أنزل عليه
6	12	51	8	12	51	13	False	ۚ قلن حاش لله ما علمنا
6	13	38	2	13	38	7	False	رسلا من قبلك وجعلنا لهم أزواجا
6	14	17	5	14	17	10	False	الموت من كل مكان وما هو
6	19	14	2	19	15	1	True	ولم يكن جبارا عصيا وسلام عليه
6	26	83	3	26	84	2	True	حكما وألحقني بالصالحين واجعل لي لسان
6	29	25	25	29	26	2	True	لكم من ناصرين ۞ فآمن له
6	39	41	16	39	42	0	True	ۖ وما أنت عليهم بوكيل الله
6	40	44	10	40	45	1	True	إن الله بصير بالعباد فوقاه الله
6	47	15	43	47	16	1	True	ماء حميما فقطع أمعاءهم ومنهم من
6	49	11	34	49	11	39	False	بعد الإيمان ۚ ومن لم يتب
6	80	6	2	80	8	0	True	تصدى وما عليك ألا يزكى وأما
6	96	4	1	96	5	3	True	علم بالقلم علم الإنسان ما لم
