43	al-Zukhruf	late-Meccan	narrative-scripture	narrative-scripture	MED	HIGH
44	al-Dukhān	middle-Meccan	eschatological-narrative	eschatological-narrative	HIGH	HIGH
45	al-Jāthiya	late-Meccan	scripture-reflective	scripture-reflective	MED	HIGH
46	al-Aḥqāf	late-Meccan	narrative-scripture	narrative-scripture	MED	HIGH
47	Muḥammad	Medinan-long	polemical-legal	polemical-legal	LOW	HIGH
48	al-Fatḥ	Medinan-long	historical-proclamation	historical-proclamation	LOW	HIGH
49	al-Ḥujurāt	Medinan-long	legal-exhortative	legal-exhortative	LOW	HIGH
50	Qāf	middle-Meccan	eschatological-oracle	eschatological-oracle	HIGH	HIGH
51	al-Dhāriyāt	early-Meccan	oath-sworn-eschatological	oath-sworn-eschatological	HIGH	HIGH	Neuwirth Frühmekkanisch; oath cluster
52	al-Ṭūr	early-Meccan	oath-sworn-eschatological	oath-sworn-eschatological	HIGH	HIGH
53	al-Najm	early-Meccan	oath-sworn-visionary	oath-sworn-visionary	HIGH	HIGH	Neuwirth key early-Meccan vision-text
54	al-Qamar	early-Meccan	eschatological-narrative	eschatological-narrative	HIGH	HIGH	Refrain-structured eschatology
55	al-Raḥmān	early-Meccan	hymn-refrain	hymn-refrain	HIGH	HIGH	Classic Neuwirth Hymnus with 31× refrain
56	al-Wāqiʿa	early-Meccan	eschatological-oracle	eschatological-oracle	HIGH	HIGH
57	al-Ḥadīd	Medinan-long	exhortative	exhortative	MED	HIGH
58	al-Mujādila	Medinan-long	legal-exhortative	legal-exhortative	LOW	HIGH
59	al-Ḥashr	Medinan-long	historical-legal	historical-legal	LOW	HIGH	Banū Naḍīr event-surah
60	al-Mumtaḥana	Medinan-long	legal-exhortative	legal-exhortative	LOW	HIGH
61	al-Ṣaff	Medinan-long	exhortative	exhortative	MED	HIGH
62	al-Jumuʿa	Medinan-long	legal-exhortative	legal-exhortative	LOW	HIGH
63	al-Munāfiqūn	Medinan-long	polemical	polemical	MED	HIGH
64	al-Taghābun	Medinan-long	exhortative	exhortative	MED	HIGH
65	al-Ṭalāq	Medinan-long	legal	legal	LOW	HIGH
66	al-Taḥrīm	Medinan-long	legal-exhortative	legal-exhortative	LOW	HIGH
67	al-Mulk	middle-Meccan	hymnic-eschatological	hymnic-eschatological	HIGH	HIGH
68	al-Qalam	early-Meccan	polemical-narrative	polemical-narrative	HIGH	HIGH	Neuwirth Frühmekkanisch (second earliest per her chronology)
69	al-Ḥāqqa	early-Meccan	eschatological-oracle	eschatological-oracle	HIGH	HIGH
70	al-Maʿārij	early-Meccan	eschatological-oracle	eschatological-oracle	HIGH	HIGH
71	Nūḥ	middle-Meccan	narrative-monolithic	narrative-monolithic	MED	HIGH	Monolithic single-prophet narrative — internally cohesive MED
72	al-Jinn	late-Meccan/middle-Meccan	narrative-report	narrative-report	MED	MED
73	al-Muzzammil	early-Meccan	address-to-prophet	address-to-prophet	MED	HIGH
74	al-Muddaththir	early-Meccan	address-to-prophet-eschatological	address-to-prophet-eschatological	HIGH	HIGH	Per Neuwirth one of the earliest prophetic-call surahs
75	al-Qiyāma	early-Meccan	eschatological-oracle	eschatological-oracle	HIGH	HIGH
76	al-Insān	early-Meccan/Medinan-disputed	eschatological-paradise	eschatological-paradise	HIGH	MED	Phase-disputed (Nöldeke Medinan; Neuwirth leans early-Meccan)
77	al-Mursalāt	early-Meccan	oath-sworn-eschatological	oath-sworn-eschatological	HIGH	HIGH
78	al-Nabaʾ	early-Meccan	eschatological-oracle	eschatological-oracle	HIGH	HIGH
79	al-Nāziʿāt	early-Meccan	oath-sworn-eschatological	oath-sworn-eschatological	HIGH	HIGH
80	ʿAbasa	early-Meccan	admonition-eschatological	admonition-eschatological	HIGH	HIGH
81	al-Takwīr	early-Meccan	eschatological-oracle-oath	eschatological-oracle-oath	HIGH	HIGH	Neuwirth key Frühmekkanisch
82	al-Infiṭār	early-Meccan	eschatological-oracle	eschatological-oracle	HIGH	HIGH
83	al-Muṭaffifīn	early-Meccan	polemical-eschatological	polemical-eschatological	HIGH	HIGH
84	al-Inshiqāq	early-Meccan	eschatological-oracle	eschatological-oracle	HIGH	HIGH
85	al-Burūj	early-Meccan	oath-sworn-eschatological	oath-sworn-eschatological	HIGH	HIGH
86	al-Ṭāriq	early-Meccan	oath-sworn-eschatological	oath-sworn-eschatological	HIGH	HIGH
87	al-Aʿlā	early-Meccan	hymn-imperative	hymn-imperative	HIGH	HIGH
88	al-Ghāshiya	early-Meccan	eschatological-oracle	eschatological-oracle	HIGH	HIGH
89	al-Fajr	early-Meccan	oath-sworn-eschatological-narrative	oath-sworn-eschatological-narrative	HIGH	HIGH
90	al-Balad	early-Meccan	oath-sworn-admonition	oath-sworn-admonition	HIGH	HIGH
91	al-Shams	early-Meccan	oath-sworn-cosmological	oath-sworn-cosmological	HIGH	HIGH	Neuwirth paradigm Frühmekkanisch oath-cluster
92	al-Layl	early-Meccan	oath-sworn-admonition	oath-sworn-admonition	HIGH	HIGH
93	al-Ḍuḥā	early-Meccan	oath-sworn-address	oath-sworn-address	HIGH	HIGH
94	al-Sharḥ	early-Meccan	address-to-prophet	address-to-prophet	HIGH	HIGH
95	al-Tīn	early-Meccan	oath-sworn-admonition	oath-sworn-admonition	HIGH	HIGH
96	al-ʿAlaq	early-Meccan	prophetic-call-admonition	prophetic-call-admonition	HIGH	HIGH	Traditionally the first revealed surah per Neuwirth
97	al-Qadr	early-Meccan	hymnic-eschatological	hymnic-eschatological	HIGH	HIGH
98	al-Bayyina	Medinan-short	polemical-legal	polemical-legal	LOW	MED	Phase-disputed
99	al-Zalzala	early-Meccan	eschatological-oracle	eschatological-oracle	HIGH	HIGH
100	al-ʿĀdiyāt	early-Meccan	oath-sworn-admonition	oath-sworn-admonition	HIGH	HIGH
101	al-Qāriʿa	early-Meccan	eschatological-oracle	eschatological-oracle	HIGH	HIGH
102	al-Takāthur	early-Meccan	admonition	admonition	HIGH	HIGH
103	al-ʿAṣr	early-Meccan	oath-sworn-admonition	oath-sworn-admonition	HIGH	HIGH
104	al-Humaza	early-Meccan	polemical-eschatological	polemical-eschatological	HIGH	HIGH
105	al-Fīl	early-Meccan	historical-narrative	historical-narrative	HIGH	HIGH	Short historical oracle
106	Quraysh	early-Meccan	exhortative-address	exhortative-address	MED	HIGH
107	al-Māʿūn	early-Meccan	polemical-admonition	polemical-admonition	HIGH	HIGH
108	al-Kawthar	early-Meccan	hymnic-address-to-prophet	hymnic-address-to-prophet	HIGH	HIGH
109	al-Kāfirūn	early-Meccan	polemical-monotheist	polemical-monotheist	HIGH	HIGH
110	al-Naṣr	Medinan-short	hymnic-exhortation	hymnic-exhortation	MED	HIGH	Traditionally last revealed Medinan surah
111	al-Masad	early-Meccan	polemical-curse	polemical-curse	HIGH	HIGH
112	al-Ikhlāṣ	early-Meccan	creedal-hymn	creedal-hymn	HIGH	HIGH	Pure creedal asyndeton
113	al-Falaq	early-Meccan	apotropaic-hymn	apotropaic-hymn	HIGH	HIGH
114	al-Nās	early-Meccan	apotropaic-hymn	apotropaic-hymn	HIGH	HIGH
