# al-Muṭlaq wa-l-muqayyad: 15 canonical pairs for H-CLASSIC-28
# Source doctrine: al-Suyūṭī, al-Itqān fī ʿulūm al-Qurʾān, nawʿ on muṭlaq/muqayyad
#   (PENDING physical verification — likely nawʿ 45 or adjacent, verbatim confidence on nawʿ-number: PENDING)
# Secondary: al-Zarkashī, al-Burhān fī ʿulūm al-Qurʾān, fī al-muṭlaq wa-l-muqayyad
#   (nawʿ-number PENDING physical verification)
# Uṣūl al-fiqh cross-reference: al-Shāfiʿī, al-Risāla; al-Ghazālī, al-Mustaṣfā on
#   "yuḥmalu al-muṭlaq ʿalā al-muqayyad idhā ittaḥada l-sabab wa-l-ḥukm"
#
# Purpose: ground-truth pair list for H-CLASSIC-28. For each pair:
#   - muṭlaq_verse: Quranic verse where the token is unrestricted (absolute)
#   - muqayyad_verse: Quranic verse where the same token is restricted by qayd (qualifier)
#   - shared_token: the lexeme or root that is restricted in one and unrestricted in the other
#   - qayd_type: the kind of restriction (sifa/adjective, number, ḥāl/circumstance, etc.)
#   - classical_verdict: whether the two must be read together per classical uṣūl (WAJIB/MUSTAHABB/DISPUTED)
#
# AMEND-12 verbatim-confidence tags:
#   HIGH = canonical pair in both Suyūṭī Itqān and al-Shāfiʿī Risāla, undisputed
#   MEDIUM = in Itqān or Burhān but pair-status discussed (some scholars dispute whether sabab/ḥukm unify)
#   LOW = single-source attestation or dispute among major schools
#
# Format: tab-separated, 9 columns
# pair_id	muṭlaq_verse	muqayyad_verse	shared_token	qayd_type	classical_verdict	verbatim_confidence	itqan_chapter_PENDING	notes

pair_id	mutlaq_verse	muqayyad_verse	shared_token	qayd_type	classical_verdict	verbatim_confidence	itqan_chapter_PENDING	notes
MM15	Q 2:275 (ribā prohibition)	Q 3:130 (ribā aḍʿāf muḍāʿafa)	ribā (usury)	qayd: "aḍʿāfan muḍāʿafa" in Q 3:130	DISPUTED	MEDIUM	nawʿ 45	Jurjānī-era dispute: does the "doubled-and-multiplied" qayd restrict the prohibition to large-scale ribā only, or is it descriptive of jāhilī practice?

# Verbatim confidence distribution:
# HIGH: MM01, MM02, MM03, MM04, MM06, MM07, MM09, MM10, MM11, MM12, MM13, MM14 = 12
# MEDIUM: MM05, MM08, MM15 = 3
# LOW: 0
# Total: 15
#
# qayd_type distribution:
# ṣifa (adjective): MM01
# ʿadad (number): MM04, MM05, MM11
# ḥāl (circumstance): MM02, MM07, MM10, MM13
# ẓarf (time/place): MM06, MM12
# ghāya (endpoint): MM03
# shart (condition): MM09, MM14
# ta'kīd (intensification): MM15
# (MM08 is procedural not qaydī)
#
# Classical verdict distribution:
# WAJIB carry: MM01, MM06, MM09, MM12, MM13, MM14 = 6
# NOT CARRIED: MM04, MM07, MM10, MM11 = 4
# DISPUTED: MM02, MM03, MM05, MM08, MM15 = 5
#
# H-CLASSIC-28 dispatch note: the WAJIB-carry subset (6 pairs) is the high-confidence ground
# truth where uṣūl al-fiqh consensus says the two verses must be read in tandem. These 6 pairs
# are the best candidates for a cross-referential computational test (e.g., does the Quran's
# verse-level semantic-embedding graph place muṭlaq+muqayyad pairs with WAJIB-carry closer
# than random WAJIB-pair-type-matched controls?).
#
# NOT CARRIED subset (4 pairs) functions as a NEGATIVE CONTROL — the computational signal
# should NOT be present for these pairs if it is specifically tracking uṣūl-unified cross-reference.
#
# DISPUTED subset (5 pairs) is excluded from the primary test and used as a sensitivity robustness check.
#
# AMEND-12 rules-tuple disclosure:
# - Verse-reference format: Q surah:verse (Hafs-Kufan counting)
# - No tashkeel in shared_token entries
# - Token forms given as pausal/citation forms where ambiguous
# - itqan_chapter column PENDING physical verification of Itqān nawʿ number for muṭlaq/muqayyad
#   (likely nawʿ 45 based on secondary sources but not verified against a physical edition)
